sampledate,pond_name,pond,Zmax,AirTemp,Secchi_Down,Secchi_Up,Open,Emergent,Floating,Substrate,Submergent,Algae
6/17/21,Dobson A8,DOBA8,1.95,20.8,0.9,0.98,97,0,3,0,0,2
6/17/21,Midtown Pond,MDT,1.3,25.2,0.65,0.55,100,0,0,70,15,15
6/17/21,Elver Pond,ELV,2.5,23.9,0.5,0.45,80,20,0,95,3,2
6/18/21,Hospital Pond - UW,HP-UW,1.88,24.1,0.45,0.45,85,0,15,,10,0
6/18/21,Lot 60 - UW,L60-UW,1.25,22.9,0.8,0.8,<5,30,75,2,96,2
6/21/21,Door county Storm Water - 3,DCSW3,2.25,18.9,0.8,0.8,60,5,35,60,40,40
6/21/21,Door county Storm Water 2,DCSW2,1.73,16.4,0.65,0.6,80,20,0,85,15,1
6/21/21,Door county Storm Water 1,DCSW1,1.98,17.3,1.6,1.6,50,30,20,0,0,0
6/22/21,Kettle Pond,KP,1.25,20.9,0.3,0.28,0,70,30,0,0,5
6/22/21,Orchid South,O-S,1.2,19.6,0.4,0.3,78,20,2,60,40,0
6/22/21,Orchid North,O-N,1.15,17.7,0.3,0.25,95,5,0,95,5,0
6/29/21,Owen Park Pond West,OPP-W,2.75,22.6,0.4,0.35,75,5,20,95,0,5
6/29/21,Owen Park Pond East,OPP-E,2,21.6,0.3,0.27,80,0,20,0,0,0
6/29/21,Dobson A7 Pond,DOBA7,2.1,21.7,0.4,0.4,100,0,0,100,0,0
6/29/21,Hospital Pond - UW,HP-UW,2.1,21.7,0.7,0.65,90,1,10,80,20,20
6/30/21,Dobson A8 Pond,DOBA8,2.3,24.8,0.8,0.7,95,0,5,95,5,1
6/30/21,Elver Pond,ELV,3,23.8,0.75,0.65,80,10,10,96,2,2
6/30/21,Midtown Pond,MDT,1.75,22.6,0.75,0.7,85,5,15,90,10,0
6/30/21,Upper Manitow Pond,UM-ARB,0.85,26.4,0.3,0.25,90,10,0,95,5,0
6/30/21,Lower Manitow Pond,LM-ARB,0.98,26.7,0.3,0.25,100,0,0,100,0,0
7/1/21,Door county Storm Water 2,DCSW2,1.7,22.3,0.85,0.8,95,0,5,100,0,15
7/1/21,Door county Storm Water 1,DCSW1,2.2,22.8,1.15,1.1,90,10,0,50,50,40
7/1/21,Commercial Ave Pond,CAP,1.5,23.1,0.9,0.85,85,25,70,20,80,10
7/1/21,Dobson A 4,DOBA4,1.6,22.6,0.4,0.35,60,40,60,100,0,0
7/1/21,Door county Storm Water 3,DCSW3,2,21.2,1.8,1.75,70,30,5,60,40,25
7/1/21,Dobson A 5,DOBA5,2.1,24.1,1.1,1,100,0,0,100,0,0
7/1/21,Orchard North,O-N,1.2,20.4,0.3,0.28,98,0,2,100,0,1
7/1/21,Orchard South,O-S,1.2,21.1,0.5,0.4,98,0,2,90,10,0
7/2/21,Kettle Pond,KP,1.15,20.3,0.4,0.3,22,90,8,0,0,
7/2/21,Lot 60 - UW,L60-UW,1.15,24.7,0.7,0.6,5,35,60,0,90,10
7/2/21,Allient center Pond,ALC,0.78,19.8,0.5,0.4,90,0,10,20,80,20
7/12/21,Dobson A7 Pond,DOBA7,1.75,20.6,0.3,0.28,100,0,60,90,10,0
7/12/21,Owen Park Pond East,OPP-E,1.78,20.8,0.3,0.25,90,0,10,98,2,2
7/13/21,Lower Manitow Pond,LM-ARB,0.7,21.1,0.27,0.25,100,0,0,95,5,2
7/13/21,Upper Manitow Pond,UM-ARB,0.8,20.7,0.3,0.28,80,20,0,100,0,5
7/13/21,Lot 60 - UW,L60-UW,1.22,23,0.5,0.4,10,60,20,10,90,0
7/14/21,Orchard South,O-S,1.15,23.2,0.65,0.6,60,1,40,40,,
7/14/21,Orchard North,O-N,1.1,24.1,0.45,0.4,95,0,10,100,0,0
7/14/21,Kettle Pond,KP,1,24,0.4,0.3,2,28,70,99,0,1
7/16/21,Commercial Ave Pond,CAP,1.76,23.7,1.1,1,20,20,60,60,30,10
7/16/21,Dobson A 4 Pond,DOBA4,1.75,21.7,0.35,0.3,60,20,20,100,0,0
7/16/21,Dobson A 5 Pond,DOBA5,2.1,22.2,0.6,0.55,100,0,0,2,0,98
7/19/21,Door county Storm Water 3,DCSW3,2.1,24.9,1.4,1.4,70,10,20,20,40,40
7/19/21,Door county Storm Water 1,DCSW1,1.85,22.4,1.5,1.4,45,40,15,95,0,5
7/19/21,Door county Storm Water 2,DCSW2,1.78,22.5,0.78,0.65,75,5,20,0,0,20
7/20/21,Midtown Pond,MDT,1.7,22.5,0.55,0.5,70,5,25,90,5,5
7/20/21,Dobson A8 Pond,DOBA8,2.1,23.2,0.55,0.55,85,0,15,85,0,15
7/20/21,Elver Pond,ELV,3.1,25.1,0.75,0.65,88,10,2,75,20,5
